index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
23547;35447;2227533;-295.722.204.557.553;-50.798.710.733.321.700;UNIDADE DE SAUDE PEDRO IVAN SPARRENBERGER;RUA CARLOS CHAGAS;40;FIGUEIRAS;(51)35454650;95650000.0;RS;Igrejinha;2016;5;-29.5546543;-50.7895068;R. Carlos Chagas, 40 - Figueira, Igrejinha - RS, 95650-000, Brazil
23554;35470;2253003;-314.404.356.479.636;-52.310.307.025.907.800;UBS SANTA SILVANA;COLONIA SANTA SILVANA;100;8 DISTRITO;(53)2859082;96010971.0;RS;Pelotas;2016;5;-31.4356662;-52.3053624;Santa Silvana, Pelotas - RS, Brazil
23561;35411;2745151;-264.904.843.494.135;-490.762.988.228.022;UNIDADE BASICA DE SAUDE RICARDO ROEDER;ESTRADA WOLFGANG WEEGE SC 416 KM 26;S/N;RIO CERRO II;(47)3273 1077;89256310.0;SC;Jaraguá do Sul;2016;5;-26.513356;-49.118694;R. Feliciano Botolini, 1246 - Barra do Rio Cerro, Jaraguá do Sul - SC, 89260-300, Brazil
23566;35453;2235722;-29.533.578.157.424.100;-525.175.237.655.624;POSTO DE SAUDE DE SINIMBU;RUA GEN FLORES DA CUNHA;S/N;CENTRO;(51)37081232;96890000.0;RS;Sinimbu;2016;5;-29.531482;-52.5210066;Av. Gen. Flôres da Cunha, Sinimbu - RS, 96890-000, Brazil
23582;35589;2254212;-27.866.749.798.923.000;-544.782.240.987.609;UNIDADE BASICA DE SAUDE BEATRIZOLIVEIRA;RUA PORTO ALEGRE;429;BEATRIZ;(55)35126122;98900000.0;RS;Santa Rosa;2016;5;-27.8581245;-54.4549015;Rua Porto Alegre, 429 - Central, Santa Rosa - RS, 98900-000, Brazil
23584;35597;2257386;-30.239.750.927.033.800;-502.367.010.760.971;ESF TUNEL VERDE;SERRADORES;76;TUNEL VERDE;(51) 3615 4034;95599000.0;RS;Balneário Pinhal;2016;5;-30.203384;-50.332437;RUA DOS SERRADORES, 76 - Túnel Verde, Balneário Pinhal - RS, 95599-000, Brazil
23585;35336;2299577;-288.312.041.759.483;-49.845.228.195.189;POSTO DE SAUDE CENTRAL DE TIMBE DO SUL;RUA FELIPE NAPOLI;S/N;CENTRO;(48)5361187;88940000.0;SC;Timbé do Sul;2016;5;-28.8246742;-49.8613;R. Felipe Nápoli, Timbé do Sul - SC, 88940-000, Brazil
23589;35499;4055977;-247.789.120.674.126;-542.365.193.366.989;UNIDADE BASICA DE SAUDE SAO CLEMENTE;RUA ABRELINO ALCANTARA;S/N;SAO CLEMENTE;(45)2751156;85894000.0;PR;Santa Helena;2016;5;-24.7820129;-54.2349962;São Clemente, Santa Helena - PR, 85892-000, Brazil
23592;35587;2251027;-29.305.157.917.908.500;-524.280.502.644.718;UNIDADE SANITARIA DE BOQUEIRAO DO LEAO;RUA SERIO;93;CENTRO;51-37891207;95920000.0;RS;Boqueirão do Leão;2016;5;-29.30471319999999;-52.4333876;R. Sério, 93, Boqueirão do Leão - RS, 95920-000, Brazil
23598;35474;2253127;-317.628.157.138.815;-52.374.122.142.790.200;UBS DOM PEDRO I;RUA ULYSSES BATINGA;749;FRAGATA;(53) 2851141;96030740.0;RS;Pelotas;2016;5;-31.7626956;-52.3740169;R. Ulysses Batinga, 749 - Fragata, Pelotas - RS, 96030-740, Brazil
23604;35347;2553147;-263.533.902.168.266;-528.517.484.664.902;POLICLINICA MUNICIPAL DE SAUDE;RUI BARBOSA;291;CENTRO;(49)3344 8400;89990000.0;SC;São Lourenço do Oeste;2016;5;-26.3509505;-52.8501279;R. Rui Barbosa, 291 - Centro, São Lourenço do Oeste - SC, 89990-000, Brazil
23610;35448;2250470;-277.796.602.188.975;-542.353.022.075.467;PSF VIVA FELIZ;RUA SANTA CLARA;117;SAO FRANCISSCO;35358847;98910000.0;RS;Três de Maio;2016;5;-27.7737598;-54.24000419999999;R. Santa Clara, 117, Três de Maio - RS, 98910-000, Brazil
23617;35449;2250489;-277.796.602.188.975;-542.353.022.075.467;PSF VIVA BEM;RUA SANTO ANDRE;1;PROMORRAR;(55)35353886;98910000.0;RS;Três de Maio;2016;5;-27.7672955;-54.2449648;R. Santo André, 1, Três de Maio - RS, 98910-000, Brazil
