index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
34377;46071;6790844;-7.94643044471718;-36.1942434310903;UNIDADE DE SAUDE DA FAMILIA DO NECO ARAGAO;RUA PROJETADA;02;LOTEAMENTO NECO ARAG;;55192000.0;PE;Santa Cruz do Capibaribe;2016;5;-7.946409600000001;-36.194152;Nova Palestina, Santa Cruz do Capibaribe - PE, 55190-000, Brazil
34379;46320;6968821;-9.925;-36.476;POSTO DE SAUDE ATOLEIRO;POVOADO ATOLEIRO;S/N;ZONA RURAL;82 35411218;57270000.0;AL;Junqueiro;2016;5;-9.9073899;-36.4806764;Junqueiro, State of Alagoas, 57270-000, Brazil
34380;46239;6910726;-8.032765388488539;-38.122687339781606;USF VARZINHA;RUA BARAO DE LUCENA;S/N;ZONA RURAL;;56903000.0;PE;Serra Talhada;2016;5;-7.982268899999999;-38.2889467;Av. João Gomes de Lucena, Serra Talhada - PE, Brazil
34391;46047;6772404;-6.58051013946514;-38.5938119888294;UNIDADE DE SAUDE DA FAMILIA I CENTRO;RUA VICENTE FERREIRA;S/N;CENTRO;083-3539-1111;58920000.0;PB;Triunfo;2016;5;-6.5799916;-38.5973182;R. Vicente Ferreira, Triunfo - PB, 58920-000, Brazil
34396;46001;6734383;-3.9428339;-42.92673679999999;UBSF DE VILA PINTOMBEIRA;POV VILA PINTOMBEIRA;S/N;POVOADO;;65515000.0;MA;Buriti;2016;5;-3.942071;-42.9183171;Buriti, MA, 65515-000, Brazil
34407;46265;6924964;-11.668081283569;-38.0231451988209;UNIDADE DE SAUDE DA FAMILIA DO CRUZEIRO;RUA SEVERINO VIEIRA;S/N;CENTRO;(0**75)34343269;48360000.0;BA;Acajutiba;2016;5;-11.681589;-38.0188417;R. Severino Viêira, Acajutiba - BA, 48360-000, Brazil
34408;46153;6851045;-3.79626673615443;-39.267008731469005;UBASF SANTA INES II;RUA ANTONIO MARTINS BANDEIRA;718;ACAMPAMENTO;8533522620;62640000.0;CE;Pentecoste;2016;5;-3.7945114;-39.2678912;R. Antônio Martins Bandeira, 718, Pentecoste - CE, 62640-000, Brazil
34409;46030;6755550;-8.9008462429044;-37.824296951292894;UNIDADE DE SAUDE DA FAMILIA ARMANDO TIMOTEO;RUA;S/N;ARMANDO TIMOTEO;;56560000.0;PE;Inajá;2016;5;-8.901334;-37.8273495;Inajá, State of Pernambuco, Brazil
34410;46022;6749151;-4.01180148124683;-38.62357378005871;UBASF QUANDU;CE 060;S/N;QUANDU;;61800100.0;CE;Pacatuba;2016;5;-3.9293768;-38.6083651;CE-060, Pacatuba - CE, Brazil
34414;46063;6782736;-3.5637760162352503;-42.2530746459949;PS ROCA VELHA;POVOADO ROCA VELHA;S/N;ZONA RURAL;;64160000.0;PI;Luzilândia;2016;5;-5.233333;-41.266667;Roça Velha, Buriti dos Montes - PI, 64345-000, Brazil
